name,version,role,folder,read_first,status,original_zip
TRACE Bootstrap Rosetta Current Front Door,v0.3,One-file current front door for other AIs / new tabs,00_FRONT_DOOR_ROSETTA_v0_3,TRACE_BOOTSTRAP_ROSETTA_CURRENT_FRONT_DOOR_v0_3.md,front-door addendum; not replacement core; not validation,99_ORIGINAL_ARTIFACT_ZIPS/TRACE_BOOTSTRAP_ROSETTA_CURRENT_FRONT_DOOR_v0_3_2026_06_16.zip
TRACE Bootstrap Collection,v0.5,Teaching cases / bootstrap orientation,01_BOOTSTRAP_COLLECTION_v0_5,README.md,active bootstrap collection; teaching cases; not validation,99_ORIGINAL_ARTIFACT_ZIPS/TRACE_Bootstrap_Collection_v0_5_2026_06_16.zip
TRACE / ME Concordance,v0.6,Mapping layer to established disciplines and case expressions,02_CONCORDANCE_v0_6,TRACE_ME_Concordance_v0_6.md,mapping layer; not validation,99_ORIGINAL_ARTIFACT_ZIPS/TRACE_ME_Concordance_v0_6_2026_06_16.zip
TRACE / ME Diagnostic Kernel,v0.2,Usable diagnostic checklist / worksheet,03_DIAGNOSTIC_KERNEL_v0_2,TRACE_ME_Diagnostic_Kernel_v0_2.md,exploratory diagnostic; not certification,99_ORIGINAL_ARTIFACT_ZIPS/TRACE_ME_Diagnostic_Kernel_v0_2_2026_06_16.zip
TRACE / ME Claims Ledger,v0.5,"Claim status, falsifiers, and must-not-claim guardrails",04_CLAIMS_LEDGER_v0_5,TRACE_ME_Claims_Ledger_v0_5.md,claim-status ledger; not proof,99_ORIGINAL_ARTIFACT_ZIPS/TRACE_ME_Claims_Ledger_v0_5_2026_06_16.zip
TRACE / ME Case Atlas,v0.4,Shared case-comparison layer,05_CASE_ATLAS_v0_4,TRACE_ME_Case_Atlas_v0_4.md,exploratory case-comparison atlas; not validation,99_ORIGINAL_ARTIFACT_ZIPS/TRACE_ME_Case_Atlas_v0_4_2026_06_16.zip
TRACE / ME AI Review Digest,v0.1,AI readability / weakness / drift signal digest,06_AI_REVIEW_DIGEST_v0_1,TRACE_ME_AI_Review_Digest_v0_1.md,review-signal digest; not validation,99_ORIGINAL_ARTIFACT_ZIPS/TRACE_ME_AI_Review_Digest_v0_1_2026_06_16.zip
TRACE / ME Falsification & Drift Audit,v0.1,"100-check internal stack audit, pre-Groundhog and pre-Frankenstein",07_FALSIFICATION_DRIFT_AUDIT_v0_1_PRE_GROUNDHOG,TRACE_ME_Falsification_Drift_Audit_v0_1.md,internal audit; pre-new bootstraps; not validation,99_ORIGINAL_ARTIFACT_ZIPS/TRACE_ME_Falsification_Drift_Audit_v0_1_2026_06_16.zip
TRACE Groundhog Delta Audit,v0.1,Targeted audit of recursive-agency / operational-free-will delta,08_GROUNDHOG_DELTA_AUDIT_v0_1,TRACE_GROUNDHOG_DELTA_FALSIFICATION_AUDIT_v0_1.md,targeted internal audit; not validation,99_ORIGINAL_ARTIFACT_ZIPS/TRACE_GROUNDHOG_DELTA_FALSIFICATION_AUDIT_v0_1_2026_06_16.zip
TRACE Frankenstein Delta Audit,v0.1,Targeted audit of creator-responsibility / created-subject delta,09_FRANKENSTEIN_DELTA_AUDIT_v0_1,TRACE_FRANKENSTEIN_DELTA_FALSIFICATION_AUDIT_v0_1.md,targeted internal audit; not validation,99_ORIGINAL_ARTIFACT_ZIPS/TRACE_FRANKENSTEIN_DELTA_FALSIFICATION_AUDIT_v0_1_2026_06_16.zip
